Item Code,Item Name,Loss Rate (%)
102900011031841.00,Agaricus Bisporus (Bag),9.43
102900011031858.00,Needle Mushroom (Bag),9.43
102900011031926.00,Chinese Caterpillar Fungus Flowers (Bag),9.43
102900011031995.00,Jigu (Bag),9.43
102900011032022.00,Xiaozhoupi (Bag),9.43
102900011032114.00,Water Chestnut (Bag),9.43
102900011032145.00,Wuhu Green Pepper (Bag),9.43
102900011032176.00,Basil (Bag),9.43
102900011032206.00,Green Hang Pepper (Bag),9.43
102900011032213.00,Red Hang Pepper (Bag),9.43
102900011032220.00,Fruit Pepper (Bag),9.43
102900011032237.00,Green Line Pepper (Bag),9.43
102900011032244.00,Red Hot Peppers (Bag),9.43
102900011032251.00,Luosi Pepper (Bag),9.43
102900011032282.00,Xiangtianhongcaitai (Bag),0
102900011032343.00,7 Colour Pepper (2),9.43
102900011032350.00,Bell Pepper (2),9.43
102900011032367.00,Red Bell Pepper (2),9.43
102900011032480.00,Artemisia Stelleriana,0
102900011032589.00,Yuxingcao ,9.43
102900011032619.00,Xixia Xianggu Mushroom (2),9.43
102900011032626.00,Fresh Edible Fungus (2),9.43
102900011032633.00,Fresh Sea (2),9.43
102900011032640.00,Jigu (2),9.43
102900011032732.00,High Melon (2),9.43
102900011032787.00,Zhuyecai (Bag),9.43
102900011032848.00,Ginger And Xiaomijiao Mix (Small Bag),9.43
102900011033081.00,Chuncai,29.03
102900011033173.00,Sophora Japonica,16.8
102900011033234.00,Hongshujian (Bag),9.43
102900011033241.00,Caidian Quinoa Artemisia (Bag),9.43
102900011033531.00,Red Coral (Leaf),9.43
102900011033562.00,Red Oak Leaf,9.43
102900011033586.00,Green Butter,9.43
102900011033906.00,Powcan Mountain Chinese Cabbage ,9.43
102900011033913.00,Purple Cabbage (2),9.43
102900011033920.00,Huangxincai (2),9.43
102900011033937.00,Needle Mushroom (2),9.43
102900011033944.00,Apricot Bao Mushroom (2),9.43
102900011033968.00,Xixia Black Mushroom (2),9.43
102900011033975.00,Green Eggplant (2),9.43
102900011033982.00,Eggplant (1),9.43
102900011033999.00,Round Eggplant (1),9.43
102900011034026.00,Zhijiang Qinggengsanhua,9.43
102900011034200.00,Amaranth (Bag),9.43
102900011034217.00,Chinese Cabbage (Bag),9.43
102900011034224.00,Xiaoqingcai (Bag),9.43
102900011034231.00,Cabbage Stem (Bag),9.43
102900011034262.00,Red Pepper (Bag),9.43
102900011034316.00,Zhimaxiancai,0
102900011034323.00,Xianzongye,0
102900011034330.00,Agaricus Bisporus (Box),0.2
102900011034354.00,Xianzongye (Bag) (1),0
102900011034439.00,Green And Red Hang Pepper Mix (Bag),9.43
102900011034538.00,Black Mushroom (Bag),9.43
102900011034569.00,Honghu Lotus (Lotus Root),9.43
102900011034705.00,The Fungus Mushroom Hot Pot Package (Bag),9.43
102900011035078.00,Red Pepper (2),9.43
102900011035481.00,Foreign Garland Chrysanthemum  (Bag),9.43
102900011035511.00,Net Lotus Root (3),9.43
102900011035740.00,Crab Flavor Mushroom And White Mushroom Mix (Box),0.84
102900011035764.00,Longyacai,9.43
102900011035771.00,Yellow Baicai (1),9.43
102900011035788.00,Xixia Xianggu Mushroom (Bag),9.43
102900011035849.00,Chinese Cabbage Seedling,0
102900011035962.00,Wild Lotus Root (2),9.43
102900011036068.00,Mushroom And Leaf Mix (Bag),9.43
102900011036242.00,Green And Red Jian Pepper Mix (Bag),9.43
102900011036266.00,Velvet Antler Mushroom (Box),0
102900011036686.00,Muercai (Bag),9.43
102900051000463.00,Round Eggplant (2),6.71
102900051000890.00,Broccoli,9.43
102900051000944.00,Honghu Lotus Root,24.05
102900051004294.00,Green Line Pepper,7.8
102900051006229.00,Lotus Root Tip,0
102900051009220.00,Youcaitai,10.94
102900051009336.00,Chinese Caterpillar Fungus Flowers,11.68
102900051010455.00,Huangbaicai (2),15.61
102900051010790.00,Purple Beicai,19.58
106930274220092.00,The Crab Flavor Mushroom (Bag),11.13
106930274620090.00,Haixian Mushroom (Bag) (2),0
106931885000035.00,Embroidered Aureus,11.13
106931885000356.00,Embroidered Aureus (Bag),8.34
106949711300068.00,Needle Mushroom (Bag) (3),11.13
106949711300167.00,Needle Mushroom (Bag) (2),6.64
106949711300259.00,Needle Mushroom (Box),0.45
106956146480197.00,The White Mushroom (2),7.3
106956146480203.00,The Crab Flavor Mushroom (2),16.04
106957634300010.00,The White Mushroom (Box),0
106957634300058.00,The Crab Flavor Mushroom (Box),0
106958851400125.00,Haixian Mushroom (Bag) (4),11.13
106971533450003.00,Haixian Mushroom (Bunch),0
106971533455008.00,Haixian Mushroom (Bag) (3),1.3
106971563780002.00,Xianzongye (Bag) (2),0
106972776821582.00,Xianzongye (Bag) (3),9.43
106973223300667.00,Chinese Caterpillar Fungus Flowers (Box) (2),11.13
106973990980123.00,Hfyg Haixian Mushroom (Bunch),0.12
