Item Code,Item Name,Category Code,Category Name
102900011008485.00,Mustard,1011010101.00,Flower/Leaf Vegetables
102900011008492.00,Big Broccoli,1011010101.00,Flower/Leaf Vegetables
102900011008515.00,Miantiaocai,1011010101.00,Flower/Leaf Vegetables
102900011008522.00,Sweet Chinese Cabbage,1011010101.00,Flower/Leaf Vegetables
102900011008676.00,Jicai,1011010101.00,Flower/Leaf Vegetables
102900011015384.00,Malan Head,1011010101.00,Flower/Leaf Vegetables
102900011015391.00,Ganlanye,1011010101.00,Flower/Leaf Vegetables
102900011021644.00,Hongshan Caitai,1011010101.00,Flower/Leaf Vegetables
102900011022849.00,The Local Yellow Youcai,1011010101.00,Flower/Leaf Vegetables
102900011022924.00,Green Caitai,1011010101.00,Flower/Leaf Vegetables
102900011023464.00,Xiaoqingcai (1),1011010101.00,Flower/Leaf Vegetables
102900011026502.00,Fresh Rice Dumplings Leaves,1011010101.00,Flower/Leaf Vegetables
102900011026618.00,Aihao,1011010101.00,Flower/Leaf Vegetables
102900011027462.00,Naibai Caimiao,1011010101.00,Flower/Leaf Vegetables
102900011027615.00,Juhua Youcai,1011010101.00,Flower/Leaf Vegetables
102900011029688.00,Shuanggou Cabbage,1011010101.00,Flower/Leaf Vegetables
102900011030042.00,Zhijiang Red Bolt (Bag),1011010101.00,Flower/Leaf Vegetables
102900011030059.00,Yunnan Lettuce (Bag),1011010101.00,Flower/Leaf Vegetables
102900011030097.00,Yunnan Leaf Lettuce (Bag),1011010101.00,Flower/Leaf Vegetables
102900011030103.00,Garden Chrysanthemum (Bag),1011010101.00,Flower/Leaf Vegetables
102900011030110.00,Spinach (Bag),1011010101.00,Flower/Leaf Vegetables
102900011030134.00,Caixin (Bag),1011010101.00,Flower/Leaf Vegetables
102900011030141.00,Shanghai Green (Bag),1011010101.00,Flower/Leaf Vegetables
102900011030158.00,Xiaoqingcai (2),1011010101.00,Flower/Leaf Vegetables
102900011030400.00,Hongshan Shoutidai,1011010101.00,Flower/Leaf Vegetables
102900011030417.00,Hongshan Gift Box,1011010101.00,Flower/Leaf Vegetables
102900011030905.00,Yuxingcao (Bag),1011010101.00,Flower/Leaf Vegetables
102900011031216.00,Ice Grass (Box),1011010101.00,Flower/Leaf Vegetables
102900011032176.00,Basil (Bag),1011010101.00,Flower/Leaf Vegetables
102900011032282.00,Xiangtianhongcaitai (Bag),1011010101.00,Flower/Leaf Vegetables
102900011032480.00,Artemisia Stelleriana,1011010101.00,Flower/Leaf Vegetables
102900011032589.00,Yuxingcao ,1011010101.00,Flower/Leaf Vegetables
102900011032787.00,Zhuyecai (Bag),1011010101.00,Flower/Leaf Vegetables
102900011033081.00,Chuncai,1011010101.00,Flower/Leaf Vegetables
102900011033173.00,Sophora Japonica,1011010101.00,Flower/Leaf Vegetables
102900011033234.00,Hongshujian (Bag),1011010101.00,Flower/Leaf Vegetables
102900011033241.00,Caidian Quinoa Artemisia (Bag),1011010101.00,Flower/Leaf Vegetables
102900011033531.00,Red Coral (Leaf),1011010101.00,Flower/Leaf Vegetables
102900011033562.00,Red Oak Leaf,1011010101.00,Flower/Leaf Vegetables
102900011033586.00,Green Butter,1011010101.00,Flower/Leaf Vegetables
102900011033906.00,Powcan Mountain Chinese Cabbage ,1011010101.00,Flower/Leaf Vegetables
102900011033920.00,Huangxincai (2),1011010101.00,Flower/Leaf Vegetables
102900011034200.00,Amaranth (Bag),1011010101.00,Flower/Leaf Vegetables
102900011034217.00,Chinese Cabbage (Bag),1011010101.00,Flower/Leaf Vegetables
102900011034224.00,Xiaoqingcai (Bag),1011010101.00,Flower/Leaf Vegetables
102900011034231.00,Cabbage Stem (Bag),1011010101.00,Flower/Leaf Vegetables
102900011034316.00,Zhimaxiancai,1011010101.00,Flower/Leaf Vegetables
102900011034323.00,Xianzongye,1011010101.00,Flower/Leaf Vegetables
102900011034354.00,Xianzongye (Bag) (1),1011010101.00,Flower/Leaf Vegetables
102900011035481.00,Foreign Garland Chrysanthemum  (Bag),1011010101.00,Flower/Leaf Vegetables
102900011035764.00,Longyacai,1011010101.00,Flower/Leaf Vegetables
102900011035771.00,Yellow Baicai (1),1011010101.00,Flower/Leaf Vegetables
102900011035849.00,Chinese Cabbage Seedling,1011010101.00,Flower/Leaf Vegetables
102900011036686.00,Muercai (Bag),1011010101.00,Flower/Leaf Vegetables
102900051000890.00,Broccoli,1011010101.00,Flower/Leaf Vegetables
102900051009220.00,Youcaitai,1011010101.00,Flower/Leaf Vegetables
102900051010455.00,Huangbaicai (2),1011010101.00,Flower/Leaf Vegetables
102900051010790.00,Purple Beicai,1011010101.00,Flower/Leaf Vegetables
106971563780002.00,Xianzongye (Bag) (2),1011010101.00,Flower/Leaf Vegetables
106972776821582.00,Xianzongye (Bag) (3),1011010101.00,Flower/Leaf Vegetables
102900005116714.00,Broccoli,1011010201.00,Cabbage
102900011000632.00,Purple Cabbage (1),1011010201.00,Cabbage
102900011009970.00,Qinggengsanhua,1011010201.00,Cabbage
102900011033913.00,Purple Cabbage (2),1011010201.00,Cabbage
102900011034026.00,Zhijiang Qinggengsanhua,1011010201.00,Cabbage
102900005116042.00,Lotus Root,1011010402.00,Aquatic Tuberous Vegetables
102900005116899.00,Net Lotus Root (1),1011010402.00,Aquatic Tuberous Vegetables
102900005118824.00,High Melon (1),1011010402.00,Aquatic Tuberous Vegetables
102900011001561.00,Lotus (Ea),1011010402.00,Aquatic Tuberous Vegetables
102900011001691.00,Water Chestnut (Lingjiao),1011010402.00,Aquatic Tuberous Vegetables
102900011007969.00,Red Lotus Root Zone,1011010402.00,Aquatic Tuberous Vegetables
102900011009277.00,Water Chestnut,1011010402.00,Aquatic Tuberous Vegetables
102900011010891.00,Wild Lotus Root (1),1011010402.00,Aquatic Tuberous Vegetables
102900011018132.00,Wild Pink Lotus Root,1011010402.00,Aquatic Tuberous Vegetables
102900011021842.00,Honghu Lotus Root Powder (Fenou),1011010402.00,Aquatic Tuberous Vegetables
102900011023976.00,Net Lotus Root (2),1011010402.00,Aquatic Tuberous Vegetables
102900011024010.00,Fresh Lotus Root Zone (Bag),1011010402.00,Aquatic Tuberous Vegetables
102900011032114.00,Water Chestnut (Bag),1011010402.00,Aquatic Tuberous Vegetables
102900011032732.00,High Melon (2),1011010402.00,Aquatic Tuberous Vegetables
102900011034569.00,Honghu Lotus (Lotus Root),1011010402.00,Aquatic Tuberous Vegetables
102900011035511.00,Net Lotus Root (3),1011010402.00,Aquatic Tuberous Vegetables
102900011035962.00,Wild Lotus Root (2),1011010402.00,Aquatic Tuberous Vegetables
102900051000944.00,Honghu Lotus Root,1011010402.00,Aquatic Tuberous Vegetables
102900051006229.00,Lotus Root Tip,1011010402.00,Aquatic Tuberous Vegetables
102900005116257.00,Eggplant (2),1011010501.00,Solanum
102900005116509.00,Green Eggplant (1),1011010501.00,Solanum
102900011000335.00,Round Eggplant,1011010501.00,Solanum
102900011009444.00,Dalong Eggplant,1011010501.00,Solanum
102900011016909.00,Hua Eggplant,1011010501.00,Solanum
102900011022764.00,Changxianqie,1011010501.00,Solanum
102900011033975.00,Green Eggplant (2),1011010501.00,Solanum
102900011033982.00,Eggplant (1),1011010501.00,Solanum
102900011033999.00,Round Eggplant (1),1011010501.00,Solanum
102900051000463.00,Round Eggplant (2),1011010501.00,Solanum
102900005116219.00,Red Hot Peppers,1011010504.00,Capsicum
102900005116226.00,Green Hot Peppers,1011010504.00,Capsicum
102900005116233.00,Red Pepper (1),1011010504.00,Capsicum
102900005116905.00,Green Hangjiao (1),1011010504.00,Capsicum
102900005116943.00,Red Hang Pepper,1011010504.00,Capsicum
102900005117056.00,Paopaojiao (Jingpin),1011010504.00,Capsicum
102900005117209.00,7 Colour Pepper (1),1011010504.00,Capsicum
102900005119968.00,Green Hangzhou Pepper (2),1011010504.00,Capsicum
102900005123880.00,Bell Pepper (1),1011010504.00,Capsicum
102900005125808.00,Millet Pepper,1011010504.00,Capsicum
102900011000328.00,Luosi Pepper,1011010504.00,Capsicum
102900011000861.00,Red Line Pepper,1011010504.00,Capsicum
102900011001219.00,The Red Bell Pepper (1),1011010504.00,Capsicum
102900011009772.00,Fruit Pepper (Orange),1011010504.00,Capsicum
102900011016701.00,Wuhu Green Pepper (1),1011010504.00,Capsicum
102900011022030.00,Pepper Mix,1011010504.00,Capsicum
102900011023648.00,Wuhu Green Pepper (2),1011010504.00,Capsicum
102900011027479.00,Xiaozhoupi,1011010504.00,Capsicum
102900011028407.00,Yuganjiao,1011010504.00,Capsicum
102900011029176.00,Lameizi,1011010504.00,Capsicum
102900011029275.00,Purple Hot Peppers,1011010504.00,Capsicum
102900011029299.00,Purple Screw Pepper,1011010504.00,Capsicum
102900011029305.00,Fruit Chili,1011010504.00,Capsicum
102900011031100.00,Millet Pepper (Bag),1011010504.00,Capsicum
102900011031582.00,Green Hot Peppers (Bag),1011010504.00,Capsicum
102900011031735.00,7 Colour Pepper (Bag),1011010504.00,Capsicum
102900011031742.00,Bell Pepper (Bag),1011010504.00,Capsicum
102900011031759.00,Red Bell Pepper (Bag),1011010504.00,Capsicum
102900011032022.00,Xiaozhoupi (Bag),1011010504.00,Capsicum
102900011032145.00,Wuhu Green Pepper (Bag),1011010504.00,Capsicum
102900011032206.00,Green Hang Pepper (Bag),1011010504.00,Capsicum
102900011032213.00,Red Hang Pepper (Bag),1011010504.00,Capsicum
102900011032220.00,Fruit Pepper (Bag),1011010504.00,Capsicum
102900011032237.00,Green Line Pepper (Bag),1011010504.00,Capsicum
102900011032244.00,Red Hot Peppers (Bag),1011010504.00,Capsicum
102900011032251.00,Luosi Pepper (Bag),1011010504.00,Capsicum
102900011032343.00,7 Colour Pepper (2),1011010504.00,Capsicum
102900011032350.00,Bell Pepper (2),1011010504.00,Capsicum
102900011032367.00,Red Bell Pepper (2),1011010504.00,Capsicum
102900011032848.00,Ginger And Xiaomijiao Mix (Small Bag),1011010504.00,Capsicum
102900011034262.00,Red Pepper (Bag),1011010504.00,Capsicum
102900011034439.00,Green And Red Hang Pepper Mix (Bag),1011010504.00,Capsicum
102900011035078.00,Red Pepper (2),1011010504.00,Capsicum
102900011036242.00,Green And Red Jian Pepper Mix (Bag),1011010504.00,Capsicum
102900051004294.00,Green Line Pepper,1011010504.00,Capsicum
102900005115250.00,Xixia Black Mushroom (1),1011010801.00,Edible Mushroom
102900005116530.00,Xixia Mushroom (1),1011010801.00,Edible Mushroom
102900005116547.00,Needle Mushroom (1),1011010801.00,Edible Mushroom
102900005116837.00,Ping Mushroom,1011010801.00,Edible Mushroom
102900005116912.00,Jigu Mushroom (1),1011010801.00,Edible Mushroom
102900005117353.00,The White Mushroom (1),1011010801.00,Edible Mushroom
102900005119098.00,The Agaricus Bisporus,1011010801.00,Edible Mushroom
102900005119104.00,The Crab Flavor Mushroom (1),1011010801.00,Edible Mushroom
102900005119944.00,Haixian Mushroom (1),1011010801.00,Edible Mushroom
102900005125815.00,Apricot Bao Mushroom (1),1011010801.00,Edible Mushroom
102900011001806.00,Jigu Mushroom (Bunch),1011010801.00,Edible Mushroom
102900011001813.00,Needle Mushroom (Bag) (1),1011010801.00,Edible Mushroom
102900011007044.00,Tremella (Flower),1011010801.00,Edible Mushroom
102900011008577.00,Hericium ,1011010801.00,Edible Mushroom
102900011009246.00,Fresh Black Fungus (1),1011010801.00,Edible Mushroom
102900011010563.00,Chicken Fir Bacteria,1011010801.00,Edible Mushroom
102900011011058.00,Black Porcini,1011010801.00,Edible Mushroom
102900011011546.00,Haixian Mushroom (Bag) (1),1011010801.00,Edible Mushroom
102900011011669.00,Xiuzhen Mushroom,1011010801.00,Edible Mushroom
102900011011782.00,Chinese Caterpillar Fungus Flowers (Box) (1),1011010801.00,Edible Mushroom
102900011012482.00,Tea Tree Mushroom (Bag),1011010801.00,Edible Mushroom
102900011012871.00,Black Chicken  Mushroom,1011010801.00,Edible Mushroom
102900011012994.00,Apricot Bao Mushroom (Bag),1011010801.00,Edible Mushroom
102900011013274.00,The White Mushroom (Bag),1011010801.00,Edible Mushroom
102900011018095.00,Chinese Caterpillar Fungus Flowers (Bag),1011010801.00,Edible Mushroom
102900011021675.00,Chopped Red Pine,1011010801.00,Edible Mushroom
102900011021699.00,The Steak Mushrooms,1011010801.00,Edible Mushroom
102900011023075.00,White Jelly Mushroom,1011010801.00,Edible Mushroom
102900011026793.00,Apricot Bao Mushroom (250 G),1011010801.00,Edible Mushroom
102900011030561.00,Chopped Red Pine (Box),1011010801.00,Edible Mushroom
102900011030608.00,The Steak Mushrooms (Box),1011010801.00,Edible Mushroom
102900011030615.00,The Pork Stomach Mushroom (Box),1011010801.00,Edible Mushroom
102900011030622.00,Black Porcini (Box),1011010801.00,Edible Mushroom
102900011030639.00,Black Chicken Fir Bacteria (Box),1011010801.00,Edible Mushroom
102900011030912.00,Haixian Mushroom (Bag),1011010801.00,Edible Mushroom
102900011030929.00,Fresh Edible Fungus (Bag),1011010801.00,Edible Mushroom
102900011031599.00,Apricot Bao Mushroom (Bag),1011010801.00,Edible Mushroom
102900011031841.00,Agaricus Bisporus (Bag),1011010801.00,Edible Mushroom
102900011031858.00,Needle Mushroom (Bag),1011010801.00,Edible Mushroom
102900011031926.00,Chinese Caterpillar Fungus Flowers (Bag),1011010801.00,Edible Mushroom
102900011031995.00,Jigu (Bag),1011010801.00,Edible Mushroom
102900011032619.00,Xixia Xianggu Mushroom (2),1011010801.00,Edible Mushroom
102900011032626.00,Fresh Edible Fungus (2),1011010801.00,Edible Mushroom
102900011032633.00,Fresh Sea (2),1011010801.00,Edible Mushroom
102900011032640.00,Jigu (2),1011010801.00,Edible Mushroom
102900011033937.00,Needle Mushroom (2),1011010801.00,Edible Mushroom
102900011033944.00,Apricot Bao Mushroom (2),1011010801.00,Edible Mushroom
102900011033968.00,Xixia Black Mushroom (2),1011010801.00,Edible Mushroom
102900011034330.00,Agaricus Bisporus (Box),1011010801.00,Edible Mushroom
102900011034538.00,Black Mushroom (Bag),1011010801.00,Edible Mushroom
102900011034705.00,The Fungus Mushroom Hot Pot Package (Bag),1011010801.00,Edible Mushroom
102900011035740.00,Crab Flavor Mushroom And White Mushroom Mix (Box),1011010801.00,Edible Mushroom
102900011035788.00,Xixia Xianggu Mushroom (Bag),1011010801.00,Edible Mushroom
102900011036068.00,Mushroom And Leaf Mix (Bag),1011010801.00,Edible Mushroom
102900011036266.00,Velvet Antler Mushroom (Box),1011010801.00,Edible Mushroom
102900051009336.00,Chinese Caterpillar Fungus Flowers,1011010801.00,Edible Mushroom
106930274220092.00,The Crab Flavor Mushroom (Bag),1011010801.00,Edible Mushroom
106930274620090.00,Haixian Mushroom (Bag) (2),1011010801.00,Edible Mushroom
106931885000035.00,Embroidered Aureus,1011010801.00,Edible Mushroom
106931885000356.00,Embroidered Aureus (Bag),1011010801.00,Edible Mushroom
106949711300068.00,Needle Mushroom (Bag) (3),1011010801.00,Edible Mushroom
106949711300167.00,Needle Mushroom (Bag) (2),1011010801.00,Edible Mushroom
106949711300259.00,Needle Mushroom (Box),1011010801.00,Edible Mushroom
106956146480197.00,The White Mushroom (2),1011010801.00,Edible Mushroom
106956146480203.00,The Crab Flavor Mushroom (2),1011010801.00,Edible Mushroom
106957634300010.00,The White Mushroom (Box),1011010801.00,Edible Mushroom
106957634300058.00,The Crab Flavor Mushroom (Box),1011010801.00,Edible Mushroom
106958851400125.00,Haixian Mushroom (Bag) (4),1011010801.00,Edible Mushroom
106971533450003.00,Haixian Mushroom (Bunch),1011010801.00,Edible Mushroom
106971533455008.00,Haixian Mushroom (Bag) (3),1011010801.00,Edible Mushroom
106973223300667.00,Chinese Caterpillar Fungus Flowers (Box) (2),1011010801.00,Edible Mushroom
106973990980123.00,Hfyg Haixian Mushroom (Bunch),1011010801.00,Edible Mushroom
